Date,Open,High,Low,Close,Volume,Market Cap,Returns,Log Returns,VolChange,LogVolChange,GarmanKlass,LogGarmanKlass,Delta_LogGK,Log Returns_Weekly,LogVolChange_Weekly,Delta_LogGK_Weekly,Log Returns_Monthly,LogVolChange_Monthly,Delta_LogGK_Monthly
2022-04-25,39464.99826486009,40567.8904,38209.3961,40475.27521135543,58683004977.95122,746129993085.5939,0.025209683826292,0.0248971612554932,0.4977184152677485,0.4039428936391915,0.039330829650098,-3.235746598174127,1.1371421879076502,-0.007989399976281338,-0.004905952541324865,0.12085703376795243,-0.09551973852566147,0.0032949849732659686,0.11165420168029128
2022-04-26,40420.005235221375,40704.663465816615,37768.6397871422,38026.746255595535,67555517226.66666,754629577383.1082,-0.0604944362446967,-0.0624015381075112,0.1511938976548505,0.1407995757212127,0.0369218102166738,-3.2989528397619745,-0.0632062415878476,-0.08725430330290514,-0.006883592771636415,-0.12430205082916501,-0.20811908176754162,0.014032540322865827,-0.30128261643162735
2022-04-27,38115.3023,39364.6236,38028.0629,39248.43928178208,73618715406.22223,738288778490.7262,0.0321272037837518,0.0316219189439251,0.0897513397641813,0.0859495415590378,0.0162812425169585,-4.117741599639595,-0.8187887598776209,-0.052249655523411556,0.009636976276215847,0.1523567847783167,-0.1820683118971984,0.0005176354456040144,0.11327882396438582
2022-04-28,39235.7651,40306.95215533668,38935.6728,39749.9386,65834105863.16084,753560180406.2151,0.0127775607742626,0.012696616528708,-0.1057422626856028,-0.1117612485858954,0.0230987558553681,-3.7679765219798136,0.3497650776597818,-0.018208394504505655,-0.017364036802124616,-0.47542744335427223,-0.1769047448767678,0.0004210935113775349,-0.02503314101311105
2022-04-29,39746.6764,39909.9063,38197.3721,38592.0044169865,67804116465.77778,743673916875.6494,-0.0291304646949442,-0.0295631808869232,0.0299238605398801,0.0294848777032514,0.0250202576403215,-3.688069476621429,0.0799070453583845,-0.028687231222688032,-0.031645677986510634,-0.05533122723555195,-0.19829311864058255,0.003627460526363535,-0.14132946047423722
2022-04-30,38600.0198503306,38767.5896,37653.4124271168,37660.452922140656,56363985095.11112,732444173875.6274,-0.0241384584428534,-0.0244345657912355,-0.168723257037657,-0.1847925155448068,0.0138060976836677,-4.282644923275521,-0.5945754466540922,-0.04621202522966377,-0.012934869301460594,-0.058346131173772076,-0.18954556432688047,-0.003864330962141338,0.03840938926515758
2022-05-01,37636.0214183511,38615.5987,37572.22979998869,38467.094,49695227037.82079,723843145851.6198,0.0214187832399943,0.0211926247627236,-0.1183159431689786,-0.1259214993583912,0.0138149500205214,-4.28200393838229,0.0006409848932316,-0.025610984664189686,0.024209513294884744,0.14471671196695235,-0.1842576061853327,-0.016084937034886337,0.04879726338567503
2022-05-02,38465.5131,39073.3888896401,38223.90525184344,38503.90959019409,65011354367.01158,736164254475.7926,0.0009570671024459,0.0009566094057343,0.3082011742804671,0.2686530441752612,0.0155302085319782,-4.164968214224745,0.117035724157545,-0.048565057560675855,0.014294528441112675,-0.12599233113983388,-0.17338301309565804,-0.0017468797634556665,0.052585304150548406
2022-05-03,38509.9527675975,38641.79102021749,37542.86699176031,37732.2997523189,64576497095.11112,728004459988.9993,-0.0200397789753719,-0.0202432989325437,-0.006688943433566,-0.0067114146776713,0.0159820197592738,-4.1362909536851244,0.0286772605396201,-0.010099351666628046,-0.006703588623846457,0.03954298370371001,-0.20741847253361106,0.005638357162180085,-0.24021303890354995
2022-05-04,37723.63988854195,39925.6099,37677.8972951729,39699.0339591762,57656679965.25714,738713445755.2025,0.0521233590257492,0.0508103688722544,-0.1071568982700031,-0.1133444114930625,0.0259316015146506,-3.6522929183364816,0.4839980353486428,0.011738148039734301,-0.03670495255036599,-0.0027904837832770646,-0.16023420255514229,-0.008991959242319325,0.2711361352443884
